,0,1,2,3,4,5,6,7
0,1,众泰Z500新能源,2841,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201412
1,2,普锐斯,2575,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201412
2,3,云100,2224,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201412
3,4,比亚迪e6,1128,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201412
4,5,荣威e550,1120,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201412
5,6,晨风,221,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201412
6,7,荣威E50,118,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201412
0,1,众泰Z500新能源,3309,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201501
1,2,普锐斯,2352,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201501
2,3,比亚迪e6,423,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201501
3,4,荣威e550,348,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201501
4,5,云100,184,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201501
5,6,晨风,26,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201501
6,7,荣威E50,4,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201501
0,1,众泰Z500新能源,2176,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201502
1,2,普锐斯,2051,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201502
2,3,比亚迪e6,276,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201502
3,4,荣威e550,269,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201502
4,5,云100,140,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201502
5,6,晨风,7,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201502
6,7,荣威E50,3,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201502
0,1,众泰Z500新能源,2791,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201503
1,2,普锐斯,1920,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201503
2,3,云100,1202,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201503
3,4,荣威e550,501,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201503
4,5,比亚迪e6,400,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201503
5,6,腾势,163,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201503
6,7,晨风,39,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201503
7,8,荣威E50,5,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201503
0,1,众泰Z500新能源,2393,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201504
1,2,普锐斯,2122,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201504
2,3,比亚迪e6,890,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201504
3,4,荣威e550,601,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201504
4,5,云100,447,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201504
5,6,腾势,131,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201504
6,7,荣威E50,58,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201504
7,8,晨风,35,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201504
0,1,普锐斯,3096,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201505
1,2,众泰Z500新能源,1349,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201505
2,3,云100,1160,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201505
3,4,荣威e550,711,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201505
4,5,比亚迪e6,406,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201505
5,6,腾势,117,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201505
6,7,晨风,92,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201505
7,8,荣威E50,61,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201505
0,1,普锐斯,4537,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201506
1,2,云100,1214,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201506
2,3,众泰Z500新能源,993,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201506
3,4,荣威e550,689,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201506
4,5,比亚迪e6,505,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201506
5,6,唐新能源,412,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201506
6,7,晨风,108,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201506
7,8,腾势,104,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201506
8,9,荣威E50,9,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201506
0,1,普锐斯,4097,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201507
1,2,荣威e550,1129,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201507
2,3,云100,734,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201507
3,4,唐新能源,723,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201507
4,5,众泰Z500新能源,569,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201507
5,6,比亚迪e6,309,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201507
6,7,腾势,120,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201507
7,8,晨风,85,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201507
8,9,荣威E50,11,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201507
0,1,普锐斯,3274,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201508
1,2,荣威e550,1628,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201508
2,3,唐新能源,1140,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201508
3,4,云100,857,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201508
4,5,众泰Z500新能源,678,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201508
5,6,腾势,391,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201508
6,7,比亚迪e6,189,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201508
7,8,晨风,117,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201508
8,9,荣威E50,1,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201508
0,1,唐新能源,3130,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201509
1,2,普锐斯,3112,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201509
2,3,比亚迪e6,1620,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201509
3,4,荣威e550,1459,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201509
4,5,云100,877,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201509
5,6,众泰Z500新能源,616,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201509
6,7,腾势,252,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201509
7,8,晨风,119,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201509
8,9,荣威E50,92,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201509
0,1,普锐斯,3368,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201510
1,2,唐新能源,3212,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201510
2,3,云100,2340,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201510
3,4,众泰Z500新能源,556,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201510
4,5,荣威e550,356,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201510
5,6,比亚迪e6,353,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201510
6,7,腾势,185,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201510
7,8,晨风,83,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201510
8,9,荣威E50,33,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201510
0,1,普锐斯,5292,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201511
1,2,唐新能源,4049,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201511
2,3,云100,3730,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201511
3,4,荣威e550,1207,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201511
4,5,腾势,715,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201511
5,6,比亚迪e6,499,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201511
6,7,众泰Z500新能源,468,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201511
7,8,晨风,121,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201511
8,9,荣威E50,16,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201511
0,1,普锐斯,7707,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201512
1,2,唐新能源,5503,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201512
2,3,知豆D2,3777,知豆电动车,0.00,0.00,https://www.16888.com/127043/options/,201512
3,4,云100,2582,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201512
4,5,比亚迪e6,2255,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201512
5,6,荣威e550,1611,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201512
6,7,众泰Z500新能源,933,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201512
7,8,腾势,872,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201512
8,9,芝麻,572,众泰新能源,0.00,0.00,https://www.16888.com/126974/options/,201512
9,10,晨风,295,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201512
10,11,荣威E50,119,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201512
0,1,普锐斯,6606,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201601
1,2,唐新能源,4012,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201601
2,3,众泰Z500新能源,1059,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201601
3,4,云100,814,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201601
4,5,比亚迪e6,686,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201601
5,6,芝麻,610,众泰新能源,0.00,0.00,https://www.16888.com/126974/options/,201601
6,7,腾势,204,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201601
7,8,荣威e550,159,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201601
8,9,晨风,110,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201601
9,10,荣威E50,25,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201601
0,1,唐新能源,2098,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201602
1,2,比亚迪e6,1105,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201602
2,3,云100,240,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201602
3,4,众泰Z500新能源,228,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201602
4,5,腾势,78,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201602
5,6,晨风,60,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201602
6,7,荣威e550,40,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201602
7,8,荣威E50,7,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201602
0,1,唐新能源,3111,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201603
1,2,比亚迪e6,2016,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201603
2,3,云100,665,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201603
3,4,荣威e550,508,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201603
4,5,众泰Z500新能源,508,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201603
5,6,晨风,304,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201603
6,7,腾势,203,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201603
7,8,荣威E50,73,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201603
0,1,唐新能源,3145,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201604
1,2,荣威e550,2110,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201604
2,3,比亚迪e6,2089,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201604
3,4,江淮iEV,1373,江淮汽车,9.45,9.45,https://www.16888.com/126533/options/,201604
4,5,众泰Z500新能源,974,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201604
5,6,江淮iEV6S,958,江淮汽车,0.00,0.00,https://www.16888.com/127182/options/,201604
6,7,晨风,304,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201604
7,8,腾势,182,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201604
8,9,云100,176,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201604
9,10,荣威E50,135,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201604
10,11,芝麻,12,众泰新能源,0.00,0.00,https://www.16888.com/126974/options/,201604
0,1,唐新能源,3249,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201605
1,2,荣威e550,2198,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201605
2,3,比亚迪e6,1683,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201605
3,4,江淮iEV6S,554,江淮汽车,0.00,0.00,https://www.16888.com/127182/options/,201605
4,5,知豆D2,548,知豆电动车,0.00,0.00,https://www.16888.com/127043/options/,201605
5,6,云100,406,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201605
6,7,晨风,274,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201605
7,8,众泰Z500新能源,133,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201605
8,9,腾势,132,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201605
9,10,荣威E50,52,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201605
0,1,唐新能源,3519,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201606
1,2,荣威e550,2329,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201606
2,3,云100,1812,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201606
3,4,比亚迪e6,1647,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201606
4,5,知豆D2,1260,知豆电动车,0.00,0.00,https://www.16888.com/127043/options/,201606
5,6,江淮iEV6S,331,江淮汽车,0.00,0.00,https://www.16888.com/127182/options/,201606
6,7,晨风,295,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201606
7,8,众泰Z500新能源,229,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201606
8,9,荣威E50,143,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201606
9,10,腾势,94,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201606
0,1,唐新能源,3032,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201607
1,2,知豆D2,2835,知豆电动车,0.00,0.00,https://www.16888.com/127043/options/,201607
2,3,荣威e550,2065,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201607
3,4,比亚迪e6,911,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201607
4,5,江铃E200L,730,江铃集团新能源,0.00,0.00,https://www.16888.com/127530/options/,201607
5,6,众泰Z500新能源,457,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201607
6,7,云100,420,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201607
7,8,江淮iEV6S,280,江淮汽车,0.00,0.00,https://www.16888.com/127182/options/,201607
8,9,晨风,97,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201607
9,10,腾势,91,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201607
10,11,荣威E50,12,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201607
0,1,唐新能源,2502,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201608
1,2,云100,2116,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201608
2,3,比亚迪e5,1961,比亚迪,22.07,22.07,https://www.16888.com/127290/options/,201608
3,4,众泰E200,1547,众泰新能源,0.00,0.00,https://www.16888.com/126973/options/,201608
4,5,比亚迪e6,1512,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201608
5,6,全球鹰K11,1002,康迪电动汽车集团,15.28,18.18,https://www.16888.com/127022/options/,201608
6,7,江淮iEV,992,江淮汽车,9.45,9.45,https://www.16888.com/126533/options/,201608
7,8,知豆D2,598,知豆电动车,0.00,0.00,https://www.16888.com/127043/options/,201608
8,9,荣威E50,463,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201608
9,10,江淮iEV6S,297,江淮汽车,0.00,0.00,https://www.16888.com/127182/options/,201608
10,11,众泰Z500新能源,218,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201608
11,12,全球鹰K17,169,康迪电动汽车集团,0.00,0.00,https://www.16888.com/127524/options/,201608
12,13,荣威e550,150,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201608
13,14,江铃E200L,150,江铃集团新能源,0.00,0.00,https://www.16888.com/127530/options/,201608
14,15,腾势,146,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201608
15,16,晨风,23,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201608
0,1,唐新能源,2120,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201609
1,2,比亚迪e5,2094,比亚迪,22.07,22.07,https://www.16888.com/127290/options/,201609
2,3,江淮iEV,1489,江淮汽车,9.45,9.45,https://www.16888.com/126533/options/,201609
3,4,比亚迪e6,1241,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201609
4,5,云100,1076,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201609
5,6,知豆D2,898,知豆电动车,0.00,0.00,https://www.16888.com/127043/options/,201609
6,7,江铃E200L,628,江铃集团新能源,0.00,0.00,https://www.16888.com/127530/options/,201609
7,8,众泰Z500新能源,610,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201609
8,9,众泰E200,326,众泰新能源,0.00,0.00,https://www.16888.com/126973/options/,201609
9,10,江淮iEV6S,176,江淮汽车,0.00,0.00,https://www.16888.com/127182/options/,201609
10,11,腾势,147,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201609
11,12,全球鹰K17,136,康迪电动汽车集团,0.00,0.00,https://www.16888.com/127524/options/,201609
12,13,荣威E50,80,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201609
13,14,荣威e550,77,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201609
0,1,比亚迪e6,3118,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201610
1,2,云100,2053,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201610
2,3,比亚迪e5,1943,比亚迪,22.07,22.07,https://www.16888.com/127290/options/,201610
3,4,众泰E200,1655,众泰新能源,0.00,0.00,https://www.16888.com/126973/options/,201610
4,5,唐新能源,1529,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201610
5,6,知豆D2,1002,知豆电动车,0.00,0.00,https://www.16888.com/127043/options/,201610
6,7,江淮iEV,943,江淮汽车,9.45,9.45,https://www.16888.com/126533/options/,201610
7,8,江铃E200L,605,江铃集团新能源,0.00,0.00,https://www.16888.com/127530/options/,201610
8,9,荣威e550,527,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201610
9,10,众泰Z500新能源,505,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201610
10,11,腾势,143,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201610
11,12,荣威E50,4,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201610
0,1,云100,5024,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201611
1,2,众泰E200,3500,众泰新能源,0.00,0.00,https://www.16888.com/126973/options/,201611
2,3,比亚迪e5,2113,比亚迪,22.07,22.07,https://www.16888.com/127290/options/,201611
3,4,比亚迪e6,2069,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201611
4,5,芝麻,2044,众泰新能源,0.00,0.00,https://www.16888.com/126974/options/,201611
5,6,唐新能源,1578,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201611
6,7,江淮iEV,1221,江淮汽车,9.45,9.45,https://www.16888.com/126533/options/,201611
7,8,江铃E200L,1021,江铃集团新能源,0.00,0.00,https://www.16888.com/127530/options/,201611
8,9,荣威e550,925,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201611
9,10,知豆D2,603,知豆电动车,0.00,0.00,https://www.16888.com/127043/options/,201611
10,11,众泰Z500新能源,595,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201611
11,12,腾势,221,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201611
12,13,晨风,167,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201611
13,14,荣威E50,134,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201611
0,1,北汽新能源EC,4128,北汽新能源,0.00,0.00,https://www.16888.com/127675/options/,201612
1,2,比亚迪e6,2528,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201612
2,3,江淮iEV,2495,江淮汽车,9.45,9.45,https://www.16888.com/126533/options/,201612
3,4,比亚迪e5,2420,比亚迪,22.07,22.07,https://www.16888.com/127290/options/,201612
4,5,众泰E200,2213,众泰新能源,0.00,0.00,https://www.16888.com/126973/options/,201612
5,6,云100,1615,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201612
6,7,唐新能源,1510,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201612
7,8,知豆D2,1347,知豆电动车,0.00,0.00,https://www.16888.com/127043/options/,201612
8,9,江铃E200L,828,江铃集团新能源,0.00,0.00,https://www.16888.com/127530/options/,201612
9,10,芝麻,805,众泰新能源,0.00,0.00,https://www.16888.com/126974/options/,201612
10,11,全球鹰K17,758,康迪电动汽车集团,0.00,0.00,https://www.16888.com/127524/options/,201612
11,12,腾势,646,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201612
12,13,荣威e550,620,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201612
13,14,荣威E50,367,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201612
14,15,众泰Z500新能源,324,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201612
15,16,晨风,282,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201612
16,17,江淮iEV6S,3,江淮汽车,0.00,0.00,https://www.16888.com/127182/options/,201612
0,1,荣威e550,956,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201701
1,2,北汽新能源EC,724,北汽新能源,0.00,0.00,https://www.16888.com/127675/options/,201701
2,3,江铃E200L,345,江铃集团新能源,0.00,0.00,https://www.16888.com/127530/options/,201701
3,4,唐新能源,278,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201701
4,5,众泰E200,186,众泰新能源,0.00,0.00,https://www.16888.com/126973/options/,201701
5,6,众泰Z500新能源,180,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201701
6,7,比亚迪e6,119,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201701
0,1,北汽新能源EC,2800,北汽新能源,0.00,0.00,https://www.16888.com/127675/options/,201702
1,2,众泰E200,1142,众泰新能源,0.00,0.00,https://www.16888.com/126973/options/,201702
2,3,荣威e550,1122,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201702
3,4,唐新能源,1019,比亚迪,20.98,34.28,https://www.16888.com/126549/options/,201702
4,5,江铃E200L,711,江铃集团新能源,0.00,0.00,https://www.16888.com/127530/options/,201702
5,6,云100,569,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201702
6,7,比亚迪e5,410,比亚迪,22.07,22.07,https://www.16888.com/127290/options/,201702
7,8,荣威E50,244,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201702
8,9,众泰Z500新能源,129,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201702
9,10,江淮iEV,125,江淮汽车,9.45,9.45,https://www.16888.com/126533/options/,201702
10,11,比亚迪e6,73,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201702
11,12,腾势,73,腾势汽车,29.88,32.88,https://www.16888.com/126366/options/,201702
0,1,北汽新能源EC,3605,北汽新能源,0.00,0.00,https://www.16888.com/127675/options/,201703
1,2,比亚迪e5,1567,比亚迪,22.07,22.07,https://www.16888.com/127290/options/,201703
